date;qobs;p;epot;temp;ss;u;l;saturation;qs;ep;qif;pn;qof;ea;g;dl;qr1;qr2;bf;qsim
05-05-1971;11,85;0;3,316129032;10;0;0;63,45213394;0,656284583;0;0;0;0;0;2,176324359;0;0;0,023416796;0,023416796;0,808483217;10,15803835
06-05-1971;11,4;0;3,316129032;9,6;0;0;61,34797931;0,634521339;0;0;0;0;0;2,104154635;0;0;0,014203005;0,014203005;0,806867866;10,02580751
07-05-1971;11,5;0;3,316129032;12,9;0;0;59,31360116;0,613479793;0;0;0;0;0;2,034378152;0;0;0,008614558;0,008614558;0,805255743;9,937883886
08-05-1971;11,3;0;3,316129032;14,1;0;0;57,34668561;0,593136012;0;0;0;0;0;1,966915548;0;0;0,005224993;0,005224993;0,803646841;9,876849371
09-05-1971;11,15;0;3,316129032;13,9;0;0;55,44499552;0,573466856;0;0;0;0;0;1,90169009;0;0;0,003169119;0,003169119;0,802041154;9,832139324
10-05-1971;10,6;2,66;3,316129032;13,8;0;2,66;53,60636793;0,554449955;0;0;0;0;0;1,838627593;0;0;0,001922168;0,001922168;0,800438675;9,797345933
11-05-1971;10,75;0;3,316129032;14,1;0;0;52,95023889;0,536063679;0;2,66;0;0;0;0,656129032;0;0;0,001165854;0,001165854;0,798839397;9,768582633
12-05-1971;10,25;0;3,316129032;15,6;0;0;51,19434065;0,529502389;0;0;0;0;0;1,755898244;0;0;0,000707126;0,000707126;0,797243315;9,743492073
13-05-1971;10,35;0,51;3,316129032;13,7;0;0,51;49,49667026;0,511943406;0;0;0;0;0;1,697670393;0;0;0,000428894;0,000428894;0,795650422;9,720644417
14-05-1971;10,4;0;3,316129032;12,9;0;0;47,8552968;0,494966703;0;0,51;0;0;0;1,641373452;0;0;0,000260137;0,000260137;0,794060711;9,699172394
15-05-1971;10,5;0;3,316129032;12,9;0;0;46,26835341;0,478552968;0;0;0;0;0;1,586943391;0;0;0,000157781;0,000157781;0,792474177;9,678549948
16-05-1971;10,7;2,06;3,316129032;11,7;0;2,06;44,73403511;0,462683534;0;0;0;0;0;1,5343183;0;0;9,56991E-05;9,56991E-05;0,790890812;9,65845798
17-05-1971;11,3;9,05;3,316129032;14,4;0;5;47,15225792;0,447340351;0;2,06;0;4,05;0,375648158;1,256129032;0;3,674351842;0,147864077;0,147864077;0,789310611;11,44351038
18-05-1971;11,6;3,57;3,316129032;13,6;0;5;47,3802795;0,471522579;0;3,316129032;0;0,253870968;0,025849388;0;0;0,22802158;0,099855038;0,099855038;0,787733568;10,83803216
19-05-1971;11,4;0,07;3,316129032;11,3;0;1,753870968;47,3802795;0,473802795;0;3,316129032;0;0;0;0;0;0;0,060565142;0,060565142;0,786159675;10,33905882
20-05-1971;11,1;0;3,316129032;11,2;0;0;45,81802144;0,473802795;0;1,753870968;0;0;0;1,562258064;0;0;0,036734616;0,036734616;0,784588927;10,02889279
21-05-1971;11,1;0,56;3,316129032;11,5;0;0,56;44,29863673;0,458180214;0;0;0;0;0;1,519384711;0;0;0,022280671;0,022280671;0,783021317;9,833259226
22-05-1971;11,4;0;3,316129032;11,9;0;0;42,82963677;0,442986367;0;0,56;0;0;0;1,468999953;0;0;0,01351391;0,01351391;0,78145684;9,707108109
