date,p,t,epot,q
1979-11-20,0.07,3.7,0.4666666666666667,1.4585630331753554
1979-11-21,0.0,3.0,0.4666666666666667,1.4045118483412322
1979-11-22,0.11,3.9,0.4666666666666667,1.3365383886255926
1979-11-23,1.36,6.1,0.4666666666666667,1.3537364928909954
1979-11-24,4.31,6.1,0.4666666666666667,1.3496417061611374
1979-11-25,1.63,6.4,0.4666666666666667,1.402873933649289
1979-11-26,20.01,7.7,0.4666666666666667,1.7222672985781993
1979-11-27,11.86,6.1,0.4666666666666667,2.4151052132701425
1979-11-28,7.88,6.4,0.4666666666666667,2.307002843601896
1979-11-29,3.46,7.2,0.4666666666666667,2.14157345971564
1979-11-30,4.75,8.2,0.4666666666666667,2.045755450236967
1979-12-01,12.89,8.2,0.3166666666666666,2.050669194312796
1979-12-02,0.41,8.4,0.3166666666666666,2.276701421800948
1979-12-03,3.35,8.8,0.3166666666666666,2.1104530805687207
1979-12-04,6.62,8.3,0.3166666666666666,2.048212322274882
1979-12-05,13.33,7.8,0.3166666666666666,2.2406672985781992
1979-12-06,11.45,7.0,0.3166666666666666,2.7312227488151666
1979-12-07,0.0,6.6,0.3166666666666666,2.626396208530806
1979-12-08,0.0,2.9,0.3166666666666666,2.221012322274881
1979-12-09,5.73,4.6,0.3166666666666666,1.9712303317535549
1979-12-10,20.38,6.1,0.3166666666666666,2.3897175355450235
1979-12-11,25.35,1.2,0.3166666666666666,3.7137258767772514
1979-12-12,4.47,-2.0,0.3166666666666666,3.374104265402844
1979-12-13,0.0,-1.7,0.3166666666666666,2.5010957345971563
1979-12-14,10.49,-0.8,0.3166666666666666,2.0703241706161144
1979-12-15,26.42,-1.0,0.3166666666666666,1.8533004739336487
1979-12-16,18.75,1.4,0.3166666666666666,1.8377402843601895
1979-12-17,9.02,0.1,0.3166666666666666,1.8704985781990524
1979-12-18,11.79,2.4,0.3166666666666666,2.1407545023696684
1979-12-19,0.0,0.0,0.3166666666666666,2.5772587677725123
1979-12-20,0.0,-0.3,0.3166666666666666,2.2726066350710905
1979-12-21,1.49,-1.6,0.3166666666666666,1.9556701421800948
1979-12-22,0.0,-0.6,0.3166666666666666,1.823818009478673
1979-12-23,2.52,1.3,0.3166666666666666,1.7271810426540286
1979-12-24,3.66,2.5,0.3166666666666666,1.7280000000000002
